path_rel,loc,n_grid_like,n_form_controls,n_file_uploads,n_reports,n_devexpress,n_sql_calls_hint
WebGestor/CAS/Cas_ListaAviso_xUsuario.aspx,200,7,12,0,0,0,0
WebGestor/CAS/Cas_ListaAviso_xUsuario.aspx.vb,222,3,0,0,0,0,0
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx,583,8,79,0,0,0,0
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx.vb,732,6,0,0,0,0,7
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx,592,8,81,0,0,0,0
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx.vb,708,6,0,0,0,0,7
WebGestor/CAS/Cas_Lista_Enlace_TemasAyuda.aspx,146,4,0,0,0,0,0
WebGestor/CAS/Cas_Lista_Enlace_TemasAyuda.aspx.vb,125,5,0,0,0,0,0
WebGestor/CAS/Cas_RedireccionarIncidencia.aspx,226,0,26,0,0,0,0
WebGestor/CAS/Cas_RedireccionarIncidencia.aspx.vb,110,0,0,0,0,0,0
WebGestor/CAS/Cas_Registra_Incidentes.aspx,1141,10,60,0,0,0,0
WebGestor/CAS/Cas_Registra_Incidentes.aspx.vb,789,7,0,0,0,0,11
WebGestor/CAS/Cas_RelacionIncidentes.aspx,397,4,52,0,0,0,0
WebGestor/CAS/Cas_RelacionIncidentes.aspx.vb,376,4,0,0,0,0,0
WebGestor/CAS/Cas_Relacion_AvisoxUsuario.aspx,176,0,6,0,0,0,0
WebGestor/CAS/Cas_Relacion_AvisoxUsuario.aspx.vb,29,0,0,0,0,0,0
WebGestor/CAS/Cas_Relacion_Estadisticas.aspx,164,0,8,0,0,0,0
WebGestor/CAS/Cas_Relacion_Estadisticas.aspx.vb,159,0,0,0,0,0,20
WebGestor/CAS/Cas_Relacion_Reportes.aspx,173,2,12,0,0,0,0
WebGestor/CAS/Cas_Relacion_Reportes.aspx.vb,319,0,0,0,0,0,48
WebGestor/CAS/Cas_Rep_ConsultaxOficiona.aspx,49,0,0,0,5,0,0
WebGestor/CAS/Cas_Rep_ConsultaxOficiona.aspx.vb,6,0,0,0,0,0,0
WebGestor/CAS/Cas_Rep_PorCargos.aspx,67,0,0,0,7,0,0
WebGestor/CAS/Cas_Rep_PorCargos.aspx.vb,13,0,0,0,0,0,0
WebGestor/CAS/Cas_Rep_RankingTerritorial.aspx,66,0,0,0,5,0,0
WebGestor/CAS/Cas_Rep_RankingTerritorial.aspx.vb,6,0,0,0,0,0,0
WebGestor/CAS/Cas_Rep_RegistroPorductoXOficina.aspx,55,0,0,0,7,0,0
WebGestor/CAS/Cas_Rep_RegistroPorductoXOficina.aspx.vb,6,0,0,0,0,0,0
WebGestor/CAS/Cas_Rep_RegistroTematicasXOficina.aspx,59,0,0,0,7,0,0
WebGestor/CAS/Cas_Rep_RegistroTematicasXOficina.aspx.vb,9,0,0,0,0,0,0
WebGestor/CAS/Cas_Rep_RegistroTerritorioXOficina.aspx,52,0,0,0,7,0,0
WebGestor/CAS/Cas_Rep_RegistroTerritorioXOficina.aspx.vb,6,0,0,0,0,0,0
WebGestor/CAS/MP_PrincipalCas.master,307,0,5,0,0,0,0
WebGestor/CAS/MP_PrincipalCas.master.vb,139,0,0,0,0,0,8
WebGestor/CAS/PagPrincipal_Cas.master,116,0,2,0,0,0,0
WebGestor/CAS/PagPrincipal_Cas.master.vb,20,0,0,0,0,0,0
WebGestor/CMenuLeft.ascx,11,0,0,0,0,0,0
WebGestor/CMenuLeft.ascx.vb,167,0,0,0,0,0,8
WebGestor/CProyLeft.ascx,21,0,0,0,0,0,0
WebGestor/CProyLeft.ascx.vb,142,0,0,0,0,0,8
WebGestor/CRM/CRM_BeseDatos_Mantenimiento.aspx,451,12,44,2,0,5,0
WebGestor/CRM/CRM_BeseDatos_Mantenimiento.aspx.vb,854,4,0,7,0,0,24
WebGestor/CRM/CRM_BusquedaBaseDatos.aspx,316,4,10,0,0,0,0
WebGestor/CRM/CRM_BusquedaBaseDatos.aspx.vb,261,3,0,0,0,0,7
WebGestor/CRM/CRM_Contenido_del_Correo.aspx,300,6,9,2,0,0,0
WebGestor/CRM/CRM_Contenido_del_Correo.aspx.designer.vb,79,1,2,0,0,0,0
WebGestor/CRM/CRM_Contenido_del_Correo.aspx.vb,325,2,0,0,0,0,0
WebGestor/CRM/CRM_DxLista_CuadroMando.aspx,21,0,0,0,0,5,0
WebGestor/CRM/CRM_DxLista_CuadroMando.aspx.vb,84,0,0,0,0,2,6
WebGestor/CRM/CRM_Enviar_Email.aspx,400,6,28,5,0,0,0
WebGestor/CRM/CRM_Enviar_Email.aspx.designer.vb,250,0,4,2,0,0,0
WebGestor/CRM/CRM_Enviar_Email.aspx.vb,663,1,0,4,0,0,0
WebGestor/CRM/CRM_Exportar.aspx,6,0,0,0,0,0,0
WebGestor/CRM/CRM_Exportar.aspx.vb,20,0,0,0,0,0,0
WebGestor/CRM/CRM_Lista_CuadroMando.aspx,234,4,14,0,0,0,0
WebGestor/CRM/CRM_Lista_CuadroMando.aspx.vb,434,1,0,0,0,0,0
WebGestor/CRM/CRM_Lista_Tickect_DevExpress.aspx,162,20,0,0,0,28,0
WebGestor/CRM/CRM_Lista_Tickect_DevExpress.aspx.vb,48,1,0,0,0,4,0
WebGestor/CRM/CRM_Registrar.aspx,840,24,98,0,0,0,0
WebGestor/CRM/CRM_Registrar.aspx.vb,1514,4,0,0,0,0,52
WebGestor/CRM/CRM_Relacion_Ticket.aspx,1247,60,39,0,0,0,0
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,1137,6,0,0,0,0,6
WebGestor/CRM/CRM_Relacion_con_Procesos.aspx,107,3,10,0,0,0,0
WebGestor/CRM/CRM_Relacion_con_Procesos.aspx.designer.vb,205,1,4,0,0,0,0
WebGestor/CRM/CRM_Relacion_con_Procesos.aspx.vb,196,1,0,0,0,0,0
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx,1183,36,125,0,0,0,0
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.designer.vb,178,1,0,0,0,0,0
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.vb,1905,13,7,0,0,0,2
WebGestor/CRM/Documento_TemasAyuda.aspx,372,3,17,16,0,0,0
WebGestor/CRM/Documento_TemasAyuda.aspx.vb,334,2,0,3,0,0,2
WebGestor/CRM/PagPrincipal_CRM.master,265,0,2,3,0,0,0
WebGestor/CRM/PagPrincipal_CRM.master.vb,21,0,0,0,0,0,0
WebGestor/CallCenter/CallCenter_CargaDatos.aspx,83,0,0,1,0,0,0
WebGestor/CallCenter/CallCenter_CargaDatos.aspx.vb,88,0,0,0,0,0,0
WebGestor/CallCenter/CallCenter_DatosCliente.aspx,137,2,8,0,0,0,0
WebGestor/CallCenter/CallCenter_DatosCliente.aspx.vb,6,0,0,0,0,0,0
WebGestor/CallCenter/CallCenter_Pantalla_Operador.aspx,285,6,30,0,0,0,0
WebGestor/CallCenter/CallCenter_Pantalla_Operador.aspx.vb,283,0,0,0,0,0,0
WebGestor/CallCenter/PagPrincipal_Call.master,78,0,2,0,0,0,0
WebGestor/CallCenter/PagPrincipal_Call.master.vb,18,0,0,0,0,0,0
WebGestor/Contabilidad/Contabilidad_PCGR.aspx,388,4,41,0,0,0,0
WebGestor/Contabilidad/Contabilidad_PCGR.aspx.vb,70,1,0,0,0,0,7
WebGestor/Contabilidad/Contabilidad_Personas.aspx,273,3,58,0,0,0,0
WebGestor/Contabilidad/Contabilidad_Personas.aspx.vb,714,2,1,0,0,0,23
WebGestor/Contabilidad/Contabilidad_Personas_Detalle.aspx,74,0,0,0,0,0,0
WebGestor/Contabilidad/Contabilidad_Personas_Detalle.aspx.vb,6,0,0,0,0,0,0
WebGestor/Contabilidad/Contabilidad_Registrar_Clientes.aspx,51,0,4,0,0,0,0
WebGestor/Contabilidad/Contabilidad_Registrar_Clientes.aspx.vb,6,0,0,0,0,0,0
WebGestor/Contabilidad/Contabilidad_TablasContable.aspx,578,12,84,0,0,0,0
WebGestor/Contabilidad/Contabilidad_TablasContable.aspx.vb,984,12,0,0,0,0,28
WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx,697,8,40,0,0,0,0
