path,symbol,tb_layer,reason
WebGestor/Fotos/buttonhover3.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/buttonround.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/buttonround2.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/buttonround3.GIF,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/buttonround3.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/flechazul1.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/foto cas 2.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/foto cas.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/grabar.png,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/icon2.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/linea.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/lineaCas.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/loading.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/logbbvaJPG.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/logo login.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/logo2.swf,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/logo_white.png,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/menu8.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/nodatafound.png,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/nodatafound.png,name-match,TB06,match por 'data' en nombre
WebGestor/Fotos/persona.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/proceso.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/tecnologias.swf,name-match,TB04,match por 'foto' en nombre
WebGestor/GTP/GTP_Relacion_Ticket.aspx,name-match,TB01,match por 'ticket' en nombre
WebGestor/GTP/GTP_Relacion_Ticket.aspx,name-match,TB02,match por 'ticket' en nombre
WebGestor/GTP/GTP_Relacion_Ticket.aspx.vb,Export,TB06,usa 'Export'
WebGestor/GTP/GTP_Relacion_Ticket.aspx.vb,name-match,TB01,match por 'ticket' en nombre
WebGestor/GTP/GTP_Relacion_Ticket.aspx.vb,name-match,TB02,match por 'ticket' en nombre
WebGestor/GTP/GTP_Relacion_TiemposxEstados.aspx.vb,Export,TB06,usa 'Export'
WebGestor/Gestion_Personal/Agencia_Empleador_Relacion.aspx.vb,Export,TB06,usa 'Export'
WebGestor/Icono/LOGO WEB HACDATA.jpg,name-match,TB06,match por 'data' en nombre
WebGestor/Icono/LOGO-HACDATA-M.jpg,name-match,TB06,match por 'data' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-17.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-17.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-53.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-53.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-54.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-54.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-72.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-72.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-73.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-73.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000108-43.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000108-43.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000112-30.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000112-30.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000177-04.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000177-04.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000185-03.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000185-03.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000200-57.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000200-57.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000202-22.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000202-22.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-35.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-35.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-45.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-45.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110012435-02.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110012435-02.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000114-01.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000114-01.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000118-01.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000118-01.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000196-09.jpeg,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000196-09.jpeg,name-match,TB06,match por 'catalogo' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000357-10.JPG,name-match,TB04,match por 'imagen' en nombre
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000357-10.JPG,name-match,TB06,match por 'catalogo' en nombre
