library,version,path_rel,minified,sha1
fr-ca.js,,WebGestor/plugins/ckeditor/lang/fr-ca.js,no,30300b81735fb180d3ada760776626c39106b8ed
fr.js,,WebGestor/plugins/ckeditor/lang/fr.js,no,dc348b8d4d835c64e7189d706f6b42889a249d3e
gl.js,,WebGestor/plugins/ckeditor/lang/gl.js,no,6fb3592b51ada778bf2e93cc932cdd72ee3ca5e6
gu.js,,WebGestor/plugins/ckeditor/lang/gu.js,no,ccabb81f9e651afa4ca155e41a74d375b1fcfb63
he.js,,WebGestor/plugins/ckeditor/lang/he.js,no,cbe51a432d00d55696d12e8b02a4252eb7f8632a
hi.js,,WebGestor/plugins/ckeditor/lang/hi.js,no,74f30450b944ca5ab528c5e61306dafbc764e11f
hr.js,,WebGestor/plugins/ckeditor/lang/hr.js,no,5f4de82c325a6877fd8b5a771b2c83767576438b
hu.js,,WebGestor/plugins/ckeditor/lang/hu.js,no,216b98a51201379b0b98390793579efb9edcf5bb
id.js,,WebGestor/plugins/ckeditor/lang/id.js,no,db4f1d240bbad1e16d2ffe01dd611cd362399ddb
is.js,,WebGestor/plugins/ckeditor/lang/is.js,no,4890e3790751a6e63bcc89c6613ee17c0b668558
it.js,,WebGestor/plugins/ckeditor/lang/it.js,no,09d1bad276bc4e80419d6ffb4524461e2238c4c6
ja.js,,WebGestor/plugins/ckeditor/lang/ja.js,no,a99ec8eccd7f3f05b7ed54bf5bf82ccd1ad39720
ka.js,,WebGestor/plugins/ckeditor/lang/ka.js,no,d51971720f41b87e48c49f9a47380f45f4a93637
km.js,,WebGestor/plugins/ckeditor/lang/km.js,no,28b3066ad82a124117dcf9e5ac500e4d429bd6a3
ko.js,,WebGestor/plugins/ckeditor/lang/ko.js,no,59f4838d70b027331925ac2246ba214e821377c7
ku.js,,WebGestor/plugins/ckeditor/lang/ku.js,no,694327d5d087b7d94bcc8fb4d131bdbb255ae896
lt.js,,WebGestor/plugins/ckeditor/lang/lt.js,no,1a14c7213403f40e5087244efb87e12639829718
lv.js,,WebGestor/plugins/ckeditor/lang/lv.js,no,cda3b7e96c29c35f8cd8e019987c5d023fc5aeb1
mk.js,,WebGestor/plugins/ckeditor/lang/mk.js,no,d4a0a8efc35bed1b674304c04e5df7e3392bde5d
mn.js,,WebGestor/plugins/ckeditor/lang/mn.js,no,392d8cc8a894b7bb2fa2fc5b5e35a1085b577811
ms.js,,WebGestor/plugins/ckeditor/lang/ms.js,no,5aeaccc8ef66b0a918d2a15fced5ecba4a45fa0f
nb.js,,WebGestor/plugins/ckeditor/lang/nb.js,no,f8204721eb993ae89339e3716e3cce3af15a76fc
nl.js,,WebGestor/plugins/ckeditor/lang/nl.js,no,dcf91ca451d533e1c964b0f94ab5931bdd420c6b
no.js,,WebGestor/plugins/ckeditor/lang/no.js,no,6463967fb2e46e6faba26583128547742d0eb794
pl.js,,WebGestor/plugins/ckeditor/lang/pl.js,no,f8212e5133bbf5fd2e86a7548b1078b9b4060984
pt-br.js,,WebGestor/plugins/ckeditor/lang/pt-br.js,no,45ad8a37d8c7ca6131053f1d466e85519cd7b184
pt.js,,WebGestor/plugins/ckeditor/lang/pt.js,no,a1c7f142be4fe24ebefc9dfaf34e857bf49ec126
ro.js,,WebGestor/plugins/ckeditor/lang/ro.js,no,10617e716ce35f772ba84cdf2d83f5d9bfe5437e
ru.js,,WebGestor/plugins/ckeditor/lang/ru.js,no,b3588cd6d95bd3302f91a33f61b99dfcf498a6ee
si.js,,WebGestor/plugins/ckeditor/lang/si.js,no,723da0e0a62a03037683fef1331780061849c9f0
sk.js,,WebGestor/plugins/ckeditor/lang/sk.js,no,c306a8b1c5bfbe45cf0911a1052bb15bca965179
sl.js,,WebGestor/plugins/ckeditor/lang/sl.js,no,904fe37f4cf7b6229f2d24d12c55739cc34724a5
sq.js,,WebGestor/plugins/ckeditor/lang/sq.js,no,f10bfe156677e434c5b326c8c586eeaf94dcaa5e
sr-latn.js,,WebGestor/plugins/ckeditor/lang/sr-latn.js,no,061d1c2254e25ece82243f3199e54f8c77f9e5d3
sr.js,,WebGestor/plugins/ckeditor/lang/sr.js,no,f6146f8edd410b031a3138a9b4544efeda8d52a2
sv.js,,WebGestor/plugins/ckeditor/lang/sv.js,no,041eaa5b0b7357224436408d79b62bde0d7d61ef
th.js,,WebGestor/plugins/ckeditor/lang/th.js,no,8a3e869a574f4c60e60a57455e21c22bb6f11b50
tr.js,,WebGestor/plugins/ckeditor/lang/tr.js,no,1d01c12b7927c5313a872e36b1392b862a729dc9
ug.js,,WebGestor/plugins/ckeditor/lang/ug.js,no,697869de6cbddcf438a3031b4181632151759225
uk.js,,WebGestor/plugins/ckeditor/lang/uk.js,no,9e6ae7c34b37c1f07acfac5ecfc288322c450b49
vi.js,,WebGestor/plugins/ckeditor/lang/vi.js,no,4961ee02477f236b5eb3c110f6ded6a1cfdb22f3
zh-cn.js,,WebGestor/plugins/ckeditor/lang/zh-cn.js,no,f1a74b2e7811b2f03a070e6285b94e7e2d51f53c
