path_rel,language,loc,avg_line_length,num_functions,decision_points,comment_lines,comment_ratio,complexity_score
WebGestor/build/less/variables.less,less,120,27.47,0,0,0,0.0,1
WebGestor/CallCenter/CallCenter_CargaDatos.aspx,aspx,82,55.56,0,5,0,0.0,6
WebGestor/CallCenter/CallCenter_CargaDatos.aspx.vb,vb,87,40.47,7,25,4,0.046,32
WebGestor/CallCenter/CallCenter_DatosCliente.aspx,aspx,136,63.62,0,12,0,0.0,13
WebGestor/CallCenter/CallCenter_DatosCliente.aspx.vb,vb,5,15.6,0,0,0,0.0,1
WebGestor/CallCenter/CallCenter_Pantalla_Operador.aspx,aspx,284,73.38,0,48,0,0.0,49
WebGestor/CallCenter/CallCenter_Pantalla_Operador.aspx.vb,vb,282,55.24,16,101,2,0.007,117
WebGestor/CallCenter/PagPrincipal_Call.master.vb,vb,18,40.94,2,5,1,0.056,7
WebGestor/camara.aspx,aspx,92,39.33,0,4,0,0.0,5
WebGestor/camara.aspx.vb,vb,123,40.62,12,29,0,0.0,41
WebGestor/camara_.ashx,ashx,45,35.49,0,6,0,0.0,7
WebGestor/camaraUpload.ashx,ashx,30,32.3,0,5,0,0.0,6
WebGestor/CAS/Cas_BusquedaBaseDatos.aspx,aspx,308,54.35,0,49,0,0.0,50
WebGestor/CAS/Cas_BusquedaBaseDatos.aspx.vb,vb,203,58.8,25,88,1,0.005,113
WebGestor/CAS/Cas_Define_Grupo.aspx,aspx,409,112.83,0,82,0,0.0,83
WebGestor/CAS/Cas_Define_Grupo.aspx.vb,vb,588,46.49,82,192,2,0.003,274
WebGestor/CAS/Cas_Define_personas.aspx,aspx,210,89.66,0,60,0,0.0,61
WebGestor/CAS/Cas_Define_personas.aspx.vb,vb,274,64.59,28,111,0,0.0,139
WebGestor/CAS/Cas_Define_TemasAyuda.aspx,aspx,307,58.19,0,31,0,0.0,32
WebGestor/CAS/Cas_Define_TemasAyuda.aspx.vb,vb,96,50.92,14,27,0,0.0,41
WebGestor/CAS/Cas_DefineTablas1.aspx,aspx,738,114.05,0,136,0,0.0,137
WebGestor/CAS/Cas_DefineTablas1.aspx.vb,vb,707,56.01,86,240,37,0.052,326
WebGestor/CAS/Cas_DefineTablas2.aspx,aspx,187,161.3,0,71,0,0.0,72
WebGestor/CAS/Cas_DefineTablas2.aspx.vb,vb,426,49.78,73,114,5,0.012,187
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx,aspx,438,77.45,0,75,0,0.0,76
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx.vb,vb,462,63.18,36,166,4,0.009,202
WebGestor/CAS/Cas_ImportarPersona.aspx,aspx,83,59.69,0,6,0,0.0,7
WebGestor/CAS/Cas_ImportarPersona.aspx.vb,vb,358,75.13,9,136,24,0.067,145
WebGestor/CAS/Cas_Lista_Enlace_TemasAyuda.aspx,aspx,145,70.7,0,27,0,0.0,28
WebGestor/CAS/Cas_Lista_Enlace_TemasAyuda.aspx.vb,vb,124,46.71,18,28,0,0.0,46
WebGestor/CAS/Cas_ListaAviso_xUsuario.aspx,aspx,199,63.63,0,47,0,0.0,48
WebGestor/CAS/Cas_ListaAviso_xUsuario.aspx.vb,vb,221,47.42,24,80,20,0.09,104
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx,aspx,582,104.44,0,156,0,0.0,157
