path_rel,endpoint_type,has_codebehind,codebehind_path,loc,size_bytes,sha1
WebGestor/CRM/CRM_Enviar_Email.aspx,page,yes,WebGestor/CRM/CRM_Enviar_Email.aspx.vb,399,25335,24e5cf9adcba8c6e5fd387a64bcd3c8b3c91ccca
WebGestor/CRM/CRM_Exportar.aspx,page,yes,WebGestor/CRM/CRM_Exportar.aspx.vb,5,266,72f9ae9ee18a128a2199561d9811783042e1930b
WebGestor/CRM/CRM_Lista_CuadroMando.aspx,page,yes,WebGestor/CRM/CRM_Lista_CuadroMando.aspx.vb,233,16742,6186b602d701192fb1cac99f363cf4a835dc43b7
WebGestor/CRM/CRM_Lista_Tickect_DevExpress.aspx,page,yes,WebGestor/CRM/CRM_Lista_Tickect_DevExpress.aspx.vb,161,9915,d25034c838e5d4fa9c2dd7f426ee7dc94858cb7b
WebGestor/CRM/CRM_Registrar.aspx,page,yes,WebGestor/CRM/CRM_Registrar.aspx.vb,839,69594,6f2c4ee7006a97925f7ea8c1f6248ef6f579c98f
WebGestor/CRM/CRM_Relacion_con_Procesos.aspx,page,yes,WebGestor/CRM/CRM_Relacion_con_Procesos.aspx.vb,106,6611,0f9ac42a0252b65da3da30f271d4285ce58aec1f
WebGestor/CRM/CRM_Relacion_Ticket.aspx,page,yes,WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,1246,113384,37dcc1c3a308c52100f8ca025a92efdfe96fe697
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx,page,yes,WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.vb,1182,98208,450908c56020ccc37fb5d91e20a471c13a295db2
WebGestor/CRM/CrmGuiaHandler.ashx,handler,no,,36,1395,27ecbd091bd64930d9a60448f98d7329003f4dbf
WebGestor/CRM/Documento_TemasAyuda.aspx,page,yes,WebGestor/CRM/Documento_TemasAyuda.aspx.vb,371,20840,b57047ca566e118ad25aa1c02b348f2af0d0159f
WebGestor/Default.aspx,page,yes,WebGestor/Default.aspx.vb,28,2617,cfcb20be4424a0bb1a418fbdf8c1f8b035a56ee7
WebGestor/Default2.aspx,page,yes,WebGestor/Default2.aspx.vb,107,6778,f4c7403c3f4bb8d9586b917dacc91632954b09a0
WebGestor/Default3.aspx,page,yes,WebGestor/Default3.aspx.vb,38,1561,d5efc05e9c6301d4eaf4faf4985c66d47e90cf64
